tu,nghia
Bake, Làm bánh
Blanch, Luộc ngắn
Toss, Trộn
Garnish, Trang trí
Chop, Băm nhỏ
Dice, Cắt thành hình lập phương
Grate, Nạo
Mince, Nhỏ
Slice, Cắt lát
Julienne, Cắt thành sợi mỏng
Sear, Sấy
Whisk, Đánh
Knead, Nhồi bột
Fold, Gấp
Boil Over, Tràn
Preheat, Tiền nhiệt
Garnish, Trang trí
Season, Nêm gia vị
Serve, Phục vụ
Taste Test, Kiểm tra vị giác
Cookware, Đồ dùng nấu nướng
Utensils, Dụng cụ
Cutting Board, Thớt
Cooktop, Bếp
Oven, Lò nướng
Office, Văn phòng
Desk, Bàn làm việc
Chair, Ghế
Computer, Máy tính
Keyboard, Bàn phím
Mouse, Chuột máy tính
Monitor, Màn hình
Printer, Máy in
Scanner, Máy quét
Fax Machine, Máy fax
Copier, Máy sao chép
Telephone, Điện thoại
Headset, Tai nghe
File Cabinet, Tủ hồ sơ
Filing Cabinet, Tủ sắp xếp hồ sơ
Shelf, Kệ sách
Calendar, Lịch
Clock, Đồng hồ
Paper, Giấy
Pen, Bút bi
Pencil, Bút chì
Eraser, Gôm
Stapler, Dập ghim
Tape, Băng dính
Notepad, Sổ tay
Envelope, Phong bì
Binder, Bìa kẹp
Paper Clip, Kẹp giấy
Document, Tài liệu
Memo, Ghi chú nhanh
Folder, Hồ sơ
Office Supplies, Vật dụng văn phòng
Stationery, Văn phòng phẩm
Meeting, Cuộc họp
Conference, Hội nghị
Presentation, Thuyết trình
Whiteboard, Bảng trắng
Blackboard, Bảng đen
Projector, Máy chiếu
Screen, Màn chiếu
Office Chair, Ghế văn phòng
Cubicle, Góc làm việc riêng
Workstation, Khu vực làm việc
Reception, Quầy lễ tân
Waiting Area, Khu vực chờ đợi
Photocopier, Máy sao chép tài liệu
Conference Room, Phòng họp
Office Building, Tòa nhà văn phòng
Office Manager, Quản lý văn phòng
Secretary, Thư ký
Fax, Gửi bằng fax
Scanner, Máy quét tài liệu
Printer, Máy in
Photocopy, Sao chép tài liệu
Office Supplies, Vật dụng văn phòng
Office Equipment, Thiết bị văn phòng
Meeting Room, Phòng họp
Document Storage, Lưu trữ tài liệu
Conference Call, Cuộc họp qua điện thoại
Workstation, Khu vực làm việc
Office Space, Không gian văn phòng
Keyboard Shortcut, Phím tắt trên bàn phím
Multifunction Printer, Máy in đa chức năng
Office Furniture, Đồ nội thất văn phòng
Office Supplies, Vật dụng văn phòng
Office Stationery, Văn phòng phẩm
Desk Organizer, Tổ chức bàn làm việc
Office Chair, Ghế văn phòng
Task Chair, Ghế làm việc
Ergonomic, Ergonôm
Cubicle, Góc làm việc riêng
Workstation, Khu vực làm việc
Office Environment, Môi trường văn phòng
Business Hours, Giờ làm việc
Office Location, Địa điểm văn phòng
Office Supplies Store, Cửa hàng vật dụng văn phòng
Office Protocol, Quy tắc văn phòng
Office Etiquette, Nghi thức văn phòng
Office Management, Quản lý văn phòng
Office Administration, Hành chính văn phòng
Office Communication, Giao tiếp văn phòng
Office Decor, Trang trí văn phòng
Office Space Planning, Lập kế hoạch không gian văn phòng
Office Technology, Công nghệ văn phòng
Office Security, Bảo mật văn phòng
Office Ergonomics, Ergonôm văn phòng
Office Software, Phần mềm văn phòng
Office Hardware, Thiết bị phần cứng văn phòng
Office Layout, Bố trí văn phòng
Office Efficiency, Hiệu suất văn phòng
Office Organization, Tổ chức văn phòng
Office Procedures, Quy trình văn phòng
Office Productivity, Năng suất văn phòng
Office Technology, Công nghệ văn phòng
Office Maintenance, Bảo dưỡng văn phòng
Office Networking, Mạng lưới văn phòng
Office Budget, Ngân sách văn phòng
Office Cleaning, Vệ sinh văn phòng
Office Supplies Inventory, Tồn kho vật dụng văn phòng
Office Waste Management, Quản lý chất thải văn phòng
Architect, Kiến trúc sư
Blueprint, Bản vẽ thiết kế
Design, Thiết kế
Building, Công trình xây dựng
Structure, Kết cấu
Foundation, Nền móng
Roof, Mái nhà
Wall, Bức tường
Floor, Sàn nhà
Ceiling, Trần nhà
Window, Cửa sổ
Door, Cửa
Stairs, Cầu thang
Balcony, Ban công
Facade, Mặt tiền
Interior, Nội thất
Exterior, Bên ngoài
Renovation, Sửa chữa, cải tạo
Restoration, Phục hồi
Architecture, Kiến trúc
Urban Planning, Quy hoạch đô thị
Blueprint, Bản vẽ thiết kế
Design, Thiết kế
Sketch, Bản phác thảo
Model, Mô hình
Draft, Bản nháp
Scale, Tỷ lệ
Floor Plan, Bản vẽ mặt bằng
Elevation, Bản vẽ bề mặt
Section, Bản vẽ mảng cắt
Site Plan, Bản vẽ mặt bằng công trình
Landscaping, Thiết kế cảnh quan
Construction, Xây dựng
Material, Vật liệu
Steel, Thép
Concrete, Bê tông
Brick, Gạch
Wood, Gỗ
Glass, Kính
Stone, Đá
Plaster, Thạch cao
Roofing, Lợp mái
Siding, Lớp ngoài của công trình
Column, Cột
Beam, Dầm
Arch, Cầu gỗ
Dome, Mái vòm
Foundation, Nền móng
Pillar, Trụ
Facade, Mặt tiền
Cornice, Mái che, bức ngói dưới mái
Balustrade, Dãy lan can
Skylight, Cửa sổ trời
Atrium, Sảnh lớn
Gable, Đỉa nhọn
Parapet, Bức tường trang trí ở đỉa tường
Portico, Hành lang trước cửa
Archway, Cổng vòm
Veranda, Hành lang ngoài trời
Terrace, Sân hiên
Turret, Tháp nhỏ
Corridor, Hành lang
Courtyard, Sân trong
Skylight, Cửa sổ trời
Arcade, Hành lang đường đi dài
Aisle, Hàng đợi
Mezzanine, Tầng lầu
Dormer, Cửa sổ ở mái nhà
Mantel, Vách lò lửa
Rotunda, Nhà tròn
Buttress, Cột bậc thang đỡ
Pinnacle, Đỉa cao
Pediment, Tróc đỉa
Transept, Phần chữ thập
Cupola, Tháp nhỏ
Sconce, Đèn bắt tường
Wainscoting, Ván trang trí
Balustrade, Dãy lan can
Dormer Window, Cửa sổ trên mái nhà
Gazebo, Nhà mái vòm
Lattice, Lưới trang trí
Spire, Đỉa nhọn
Pergola, Mai đài
Ornament, Trang trí
Finial, Đỉa đầu
Keystone, Đỉa cầu đá
Skyscraper, Tòa nhà chọc trời
Blueprint, Bản vẽ thiết kế
Scaffolding, Giàn giáo
Architecture Firm, Công ty kiến trúc
Interior Design, Thiết kế nội thất
Landscape Architecture, Kiến trúc cảnh quan
Blueprint Reading, Đọc bản vẽ thiết kế
Building Codes, Luật kiến trúc
Sustainable Design, Thiết kế bền vững
Urban Development, Phát triển đô thị
Building Materials, Vật liệu xây dựng
Architectural Style, Phong cách kiến trúc
Historic Preservation, Bảo tồn di tích
Architectural Heritage, Di sản kiến trúc
Painting, Tranh
Canvas, Bức tranh
Artist, Họa sĩ
Palette, Bảng màu
Brush, Cọ
Easel, Giá đỡ tranh
Acrylic, Màu acrylic
Oil, Màu dầu
Watercolor, Màu nước
Sketch, Bản phác thảo
Portrait, Chân dung
Landscape, Phong cảnh
Still Life, Tự nhiên chết
Abstract, Trừu tượng
Impressionism, Chủ nghĩa ấn tượng
Realism, Chủ nghĩa hiện thực
Surrealism, Chủ nghĩa siêu thực
Modern Art, Nghệ thuật hiện đại
Contemporary Art, Nghệ thuật đương đại
Artwork, Tác phẩm nghệ thuật
Exhibition, Triển lãm
Gallery, Phòng trưng bày
Sculpture, Tượng điêu khắc
Pottery, Gốm sứ
Ceramics, Đồ gốm
Print, In
Engraving, Khắc
Artistic, Thuộc về nghệ thuật
Aesthetics, Thẩm mỹ học
Frame, Khung tranh
Portraitist, Họa sĩ chân dung
Landscape Artist, Họa sĩ phong cảnh
Still Life Painter, Họa sĩ tự nhiên chết
Artistic Expression, Biểu đạt nghệ thuật
Color Palette, Bảng màu sắc
Art Studio, Phòng làm việc nghệ thuật
Art Collector, Người sưu tập nghệ thuật
Art History, Lịch sử nghệ thuật
Art Critic, Nhà phê bình nghệ thuật
Art School, Trường nghệ thuật
Art Museum, Bảo tàng nghệ thuật
Artisan, Nghệ nhân
Craftsmanship, Điêu khắc
Canvas Painting, Tranh vẽ trên bảng tranh
Digital Art, Nghệ thuật số
Abstract Expressionism, Chủ nghĩa trừu tượng biểu cảm
Artistic Inspiration, Sự truyền cảm hứng nghệ thuật
Art Collector, Người sưu tập nghệ thuật
Artistic Process, Quy trình nghệ thuật
Athlete, Vận động viên
Sports, Thể thao
Competition, Cuộc thi
Team, Đội
Game, Trò chơi
Victory, Chiến thắng
Defeat, Thất bại
Tournament, Giải đấu
Championship, Chức vô địch
Match, Trận đấu
Score, Điểm số
Referee, Trọng tài
Coach, HLV
Training, Huấn luyện
Player, Cầu thủ
Uniform, Đồng phục
Field, Sân cỏ
Court, Sân thi đấu
Stadium, Sân vận động
Equipment, Thiết bị
Ball, Bóng
Racket, Vợt
Net, Mạng
Goal, Bàn thắng
Athlete's Village, Làng vận động viên
Medal, Huy chương
Ceremony, Lễ trao giải
Trophy, Cúp thưởng
Record, Kỷ lục
Relay, Đua tiếp sức
Marathon, Giải chạy marathon
Sprint, Chạy nhanh
Endurance, Sức bền
Gymnastics, Tập thể dục
Swimming, Bơi lội
Diving, Nhảy từ trampoline
Cycling, Đua xe đạp
Boxing, Đánh quyền
Wrestling, Đấm bốc
Judo, Judo
Karate, Karate
Taekwondo, Taekwondo
Weightlifting, Cử tạ
Archery, Bắn cung
Equestrian, Đua ngựa
Rowing, Chèo thuyền
Sailing, Lướt ván
Skiing, Trượt tuyết
Snowboarding, Lướt ván trên tuyết
Ice Hockey, Khúc côn cầu trên băng
Figure Skating, Trượt băng nghệ thuật
Gymnast, Vận động viên thể dục dụng cụ
Swimmer, Vận động viên bơi lội
Diver, Vận động viên nhảy từ trampoline
Cyclist, Vận động viên đua xe đạp
Boxer, Vận động viên đánh quyền
Wrestler, Vận động viên đấm bốc
Judoka, Vận động viên Judo
Karateka, Vận động viên Karate
Taekwondoka, Vận động viên Taekwondo
Weightlifter, Vận động viên cử tạ
Archer, Vận động viên bắn cung
Equestrian, Vận động viên đua ngựa
Rower, Vận động viên chèo thuyền
Sailor, Vận động viên lướt ván
Skier, Vận động viên trượt tuyết
Snowboarder, Vận động viên lướt ván trên tuyết
Ice Hockey Player, Cầu thủ khúc côn cầu trên băng
Figure Skater, Vận động viên trượt băng nghệ thuật
Sportsmanship, Tinh thần thể thao
Fair Play, Chơi trong tinh thần thể thao
Sports Venue, Địa điểm thi đấu
Fan, Cổ động viên
Spectator, Người xem
Cheer, Cổ vũ
Athlete's Oath, Lời tuyên thệ của vận động viên
Sportsmanship, Tinh thần thể thao
Medal Ceremony, Lễ trao giải
Opening Ceremony, Lễ khai mạc
Closing Ceremony, Lễ bế mạc
National Anthem, Quốc ca
Olympic Games, Thế vận hội
Paralympics, Thế vận hội dành cho người khuyết tật
World Cup, World Cup
League, Giải đấu
Tournament, Giải đấu
Qualification, Vòng loại
Knockout, Đấu loại trực tiếp
Tie, Trận hòa
Victory, Chiến thắng
Defeat, Thất bại
Gold Medal, Huy chương vàng
Silver Medal, Huy chương bạc
Bronze Medal, Huy chương đồng
Sports Equipment, Thiết bị thể thao
Sports Psychology, Tâm lý học thể thao
Sports Nutrition, Dinh dưỡng thể thao
Sports Medicine, Y học thể thao
Sports Injury, Chấn thương thể thao
Sports Science, Khoa học thể thao
Fashion, Thời trang
Clothing, Quần áo
Apparel, Đồ trang phục
Designer, Nhà thiết kế
Style, Phong cách
Trend, Xu hướng
Outfit, Bộ trang phục
Accessories, Phụ kiện
Couture, Thời trang cao cấp
Runway, Sàn diễn thời trang
Model, Người mẫu
Catwalk, Nơi người mẫu trình diễn
Fabric, Vải
Texture, Đặc tính bề mặt
Sewing, May vá
Tailor, Thợ may
Dress, Váy
Suit, Áo vest
Shirt, Áo sơ mi
Pants, Quần
Skirt, Váy ngắn
Blouse, Áo blouse
Jacket, Áo khoác
Coat, Áo khoác dày
Sweater, Áo len
Scarf, Khăn quàng cổ
Hat, Mũ
Shoes, Giày
Boots, Giày bốt
Sandals, Dép xỏ ngón
High Heels, Giày cao gót
Sneakers, Giày thể thao
Handbag, Túi xách
Clutch, Túi cầm tay
Belt, Thắt lưng
Jewelry, Trang sức
Necklace, Dây chuyền
Earrings, Bông tai
Bracelet, Vòng cổ tay
Ring, Nhẫn
Sunglasses, Kính râm
Watch, Đồng hồ
Lingerie, Đồ lót
Swimsuit, Áo tắm
Formal Wear, Trang phục dự tiệc
Casual Wear, Trang phục thường ngày
Vintage, Thời trang cổ điển
Bohemian, Phong cách Bohemian
Streetwear, Thời trang đường phố
Sportswear, Thời trang thể thao
Haute Couture, Thời trang cao cấp
Ready-to-Wear, Trang phục sẵn sàng mặc
Fashion Show, Buổi trình diễn thời trang
Fashion Week, Tuần lễ thời trang
Haute Couture, Thời trang cao cấp
Fashion Industry, Ngành công nghiệp thời trang
Fashion Designer, Nhà thiết kế thời trang
Runway Model, Người mẫu trên sàn diễn
Dressmaker, Người làm váy
Textile, Ngành dệt may
Fabric Store, Cửa hàng vải
Color, Màu sắc
Pattern, Hoa văn
Sewing Machine, Máy may
Dress Form, Bản định hình
Fitting, Thử đồ
Tailoring, Thuộc về thời trang
Fashion Retail, Bán lẻ thời trang
Style Icon, Người thần tượng phong cách
Wardrobe, Tủ quần áo
Make-up, Trang điểm
Hairstyle, Kiểu tóc
Beauty, Sắc đẹp
Fashion Magazine, Tạp chí thời trang
Fashion Blog, Blog thời trang
Fashion Photographer, Nhiếp ảnh gia thời trang
Runway Show, Buổi trình diễn sàn diễn
Fashion Week, Tuần lễ thời trang
Fashion Trend, Xu hướng thời trang
Fashion Statement, Tuyên bố thời trang
Dress Code, Quy định trang phục
Red Carpet, Thảm đỏ
Fashion Sketch, Bản phác thảo thời trang
Fashion Accessories, Phụ kiện thời trang
Street Style, Phong cách đường phố
Fashion Boutique, Cửa hàng thời trang
Fashion Runway, Sàn diễn thời trang
Fashion Industry, Ngành công nghiệp thời trang
Fashion Label, Nhãn hiệu thời trang
Couturier, Thợ may thời trang cao cấp
Fashion Brand, Thương hiệu thời trang
Fashion Model, Người mẫu thời trang
Fashionista, Người yêu thời trang
Fashion Blog, Blog thời trang
Fashion Consultant, Chuyên gia thời trang
Fashion PR, Quảng cáo thời trang
Fashion Designer, Nhà thiết kế thời trang
Fashion Stylist, Chuyên gia trang điểm thời trang
Fashion Marketing, Tiếp thị thời trang
Fashion Journalism, Báo chí thời trang
Red, Đỏ
Blue, Xanh dương
Green, Xanh lá cây
Yellow, Vàng
Orange, Cam
Purple, Tím
Pink, Hồng
Brown, Nâu
Gray, Xám
Black, Đen
White, Trắng
Beige, Màu be
Turquoise, Màu ngọc lục bảo
Gold, Vàng
Silver, Bạc
Bronze, Đồng
Maroon, Màu đỏ rượu vang
Teal, Màu xanh dương mòng két
Lavender, Màu oải hương
Indigo, Màu xanh nước biển
Magenta, Màu hồng đậm
Charcoal, Màu than củi
Coral, Màu san hô
Peach, Màu đào
Lavender, Màu oải hương
Tangerine, Màu cam chanh
Lime, Màu xanh chanh
Khaki, Màu mỡ
Plum, Màu mận
Sky Blue, Màu xanh da trời
Forest Green, Màu xanh rừng
Olive, Màu xanh olive
Salmon, Màu salmon
Mauve, Màu hồng lục
Burgundy, Màu đỏ cói
Cyan, Màu xanh lam đậm
Ivory, Màu ngà
Turquoise, Màu ngọc lục bảo
Aquamarine, Màu ngọc lam
Rust, Màu rỉ sét
Slate, Màu xám đá
Chartreuse, Màu chartreuse
Fuchsia, Màu đỏ hồng
Periwinkle, Màu xanh da trời hồng
Lilac, Màu cẩm thạch
Cream, Màu kem
Sienna, Màu sienna
Eggplant, Màu cà tím
Lemon, Màu vàng chanh
Tan, Màu nâu sáng
Orchid, Màu hoa lan
Olive Green, Màu xanh olive
Topaz, Màu topaz
Sand, Màu cát
Cinnamon, Màu quế
Jade, Màu ngọc bích
Marigold, Màu cúc vạn thọ
Slate, Màu xám đá
Midnight Blue, Màu xanh đêm
Lavender, Màu oải hương
Ruby, Màu ngọc bích
Caramel, Màu caramel
Pewter, Màu thiếc
Sapphire, Màu ngọc lam
Mauve, Màu hồng lục
Coral, Màu san hô
Beige, Màu be
Teal, Màu xanh dương mòng két
Indigo, Màu xanh nước biển
Gold, Vàng
Silver, Bạc
Bronze, Đồng
Maroon, Màu đỏ rượu vang
Charcoal, Màu than củi
Coral, Màu san hô
Peach, Màu đào
Lavender, Màu oải hương
Tangerine, Màu cam chanh
Lime, Màu xanh chanh
Khaki, Màu mỡ
Plum, Màu mận
Sky Blue, Màu xanh da trời
Forest Green, Màu xanh rừng
Olive, Màu xanh olive
Salmon, Màu salmon
Mauve, Màu hồng lục
Burgundy, Màu đỏ cói
Cyan, Màu xanh lam đậm
Ivory, Màu ngà
Turquoise, Màu ngọc lục bảo
Aquamarine, Màu ngọc lam
Rust, Màu rỉ sét
Slate, Màu xám đá
Chartreuse, Màu chartreuse
Fuchsia, Màu đỏ hồng
Periwinkle, Màu xanh da trời hồng
Lilac, Màu cẩm thạch
Cream, Màu kem
Sienna, Màu sienna
Eggplant, Màu cà tím
Dog, Chó
Cat, Mèo
Horse, Ngựa
Cow, Bò
Pig, Lợn
Sheep, Cừu
Goat, Dê
Rabbit, Thỏ
Chicken, Gà
Duck, Vịt
Turkey, Gà tây
Goose, Ngỗng
Elephant, Voi
Lion, Sư tử
Tiger, Hổ
Bear, Gấu
Wolf, Sói
Fox, Cáo
Giraffe, Hươu cao cổ
Zebra, Ngựa vằn
Kangaroo, Kangaroo
Koala, Gấu túi
Gorilla, Khỉ đột
Chimpanzee, Khỉ tinh tinh
Panda, Gấu trúc
Dolphin, Cá heo
Whale, Cá voi
Shark, Cá mập
Octopus, Bạch tuộc
Jellyfish, Sứa
Crocodile, Cá sấu
Turtle, Rùa
Snake, Rắn
Lizard, Thằn lằn
Spider, Nhện
Scorpion, Bọ cạp
Butterfly, Bướm
Bee, Ong
Ant, Kiến
Grasshopper, Dế mèn
Ladybug, Bọ rùa
Beetle, Bọ cánh cứng
Snail, Ốc sên
Fish, Cá
Goldfish, Cá vàng
Salmon, Cá hồi
Trout, Cá hồi nước ngọt
Bass, Cá vược
Tuna, Cá ngừ
Swordfish, Cá kiếm
Crab, Cua
Lobster, Tôm hùm
Shrimp, Tôm
Oyster, Con hàu
Mussel, Con trai
Clam, Con sò
Squid, Mực
Eel, Lươn
Starfish, Sao biển
Sea urchin, Nhím biển
Seahorse, Ngựa biển
Pufferfish, Cá nóc
Parrot, Vẹt
Macaw, Vẹt lưỡi hung
Cockatoo, Kakatua
Canary, Thẻo
Finch, Chim chích chòe
Owl, Cú
Hawk, Đại bàng
Falcon, Saker
Pigeon, Bồ câu
Seagull, Mòng biển
Pelican, Bạch tuộc
Swan, Thiên nga
Duckling, Vịt con
Chicken, Gà con
Puppy, Chó con
Kitten, Mèo con
Foal, Ngựa con
Calf, Bê con
Piglet, Lợn con
Lamb, Cừu con
Kid, Dê con
Fawn, Thỏ con
Cub, Con thú
Baby, Em bé
Infant, Trẻ sơ sinh
Elderly, Người già
Veterinarian, Bác sĩ thú y
Zookeeper, Người chăm sóc động vật ở vườn thú
Wildlife, Động vật hoang dã
Habitat, Môi trường sống
Endangered, Có nguy cơ tuyệt chủng
Extinct, Tuyệt chủng
Conservation, Bảo tồn
Wildlife Sanctuary, Khu bảo tồn động vật hoang dã
National Park, Vườn quốc gia
Rainforest, Rừng mưa
Desert, Sa mạc
Ocean, Đại dương
Sea, Biển
Marine Life, Đời sống biển
Coral Reef, Rặn san hô
Underwater, Dưới nước
Coast, Bờ biển
Tide, Thủy triều
Wave, Sóng
Current, Dòng nước
Beach, Bãi biển
Seashore, Bãi biển
Shoreline, Đường biển
Tidal Zone, Vùng triều
Coastal Erosion, Sự xói mòn bờ biển
Continental Shelf, Khoang đại lục
Island, Hòn đảo
Archipelago, Quần đảo
Peninsula, Bán đảo
Seafloor, Đáy biển
Seabed, Đáy biển
Abyss, Vực sâu
Deep Sea, Biển sâu
Submarine, Tàu ngầm
Shipwreck, Xác tàu
Nautical, Liên quan đến biển
Maritime, Hàng hải
Navigation, Điều hướng biển
Nautical Chart, Bản đồ biển
Lighthouse, Ngọn hải đăng
Buoy, Phao báo hiệu
Marine Biology, Sinh học biển
Oceanography, Đại dương học
Marine Ecology, Sinh thái học biển
Conservation, Bảo tồn
Ecosystem, Hệ sinh thái
Marine Mammal, Động vật biển
Coral Polyp, Cái bọ biển san hô
Marine Species, Loài biển
Fish, Cá
Shark, Cá mập
Dolphin, Cá heo
Whale, Cá voi
Jellyfish, Sứa
Sea Turtle, Rùa biển
Seagull, Mòng biển
Algae, Tảo biển
Seaweed, Rong biển
Plankton, Phytoplankton, Zooplankton, Plankton
Seashell, Vỏ sò
Seagrass, Cỏ biển
Kelp, Rong nâu
Tidal Power, Năng lượng triều
Ocean Currents, Dòng chảy biển
Tsunami, Sóng thần
Typhoon, Bão táp
Hurricane, Bão nhiệt đới
Whirlpool, Xoáy nước
Trench, Hàm sâu
Seamount, Dãy núi biển
Atoll, Rặn atoll
Underwater Volcano, Núi lửa dưới nước
Mangrove, Rừng ngập mặn
Salinity, Nồng độ muối
Coral Bleaching, Sự trắng san hô
Marine Pollution, Ô nhiễm biển
Overfishing, Khai thác quá mức
Marine Protected Area, Khu vực bảo vệ biển
Marine Reserve, Khu dự trữ biển
Deep-Sea Exploration, Khám phá đáy biển
Oceanic Research, Nghiên cứu đại dương
Marine Sanctuary, Khu bảo tồn biển
Ocean Conservation, Bảo tồn đại dương
Coral Restoration, Phục hồi rặn san hô
Marine Biodiversity, Đa dạng sinh học biển
Maritime Law, Luật biển
Marine Sanctuary, Khu bảo tồn biển
Marine Reserves, Khu dự trữ biển
Ocean Acidification, Sự axit hóa đại dương
Marine Debris, Rác biển
Nautical Knot, Nút biển
Maritime Trade, Thương mại biển
Coastal Community, Cộng đồng ven biển
Marine Conservation, Bảo tồn biển
Ocean Exploration, Khám phá đại dương
Marine Ecosystem, Hệ sinh thái biển
Seabird, Chim biển
Pinniped, Động vật có vây chân truợc
Maritime Archaeology, Khảo cổ biển
Marine Geology, Địa chất biển
Oceanographic Survey, Cuộc điều tra đại dương học
Marine Biologist, Nhà sinh học biển
Oceanographer, Nhà đại dương học
Marine Ecologist, Nhà sinh thái học biển
Conservationist, Người bảo tồn
Marine Science, Khoa học biển
Marine Environment, Môi trường biển
Marine Conservation, Bảo tồn biển
Oceanography, Đại dương học
Marine Sanctuary, Khu bảo tồn biển
Marine Reserve, Khu dự trữ biển
Dinosaur, Khủng long
Fossil, Hóa thạch
Paleontology, Khảo cổ học
Extinct, Tuyệt chủng
Prehistoric, Tiền sử
Herbivore, Sinh vật ăn cỏ
Carnivore, Sinh vật ăn thịt
Omnivore, Sinh vật ăn tạp
Predator, Thú ăn thịt
Prey, Con mồi
Theropod, Bộ lạc bò sát
Sauropod, Bộ lạc tây ác
Pterosaur, Bộ lạc cánh dơi
Triceratops, Khủng long ba sừng
Tyrannosaurus Rex, Khủng long Tyrannosaurus Rex
Brachiosaurus, Khủng long Brachiosaurus
Stegosaurus, Khủng long Stegosaurus
Velociraptor, Khủng long Velociraptor
Diplodocus, Khủng long Diplodocus
Allosaurus, Khủng long Allosaurus
Archaeopteryx, Chim cổ hóa thạch
Plesiosaur, Cá heo cổ hóa thạch
Dimetrodon, Khủng long Dimetrodon
Spinosaurus, Khủng long Spinosaurus
Ankylosaurus, Khủng long Ankylosaurus
Pachycephalosaurus, Khủng long Pachycephalosaurus
Parasaurolophus, Khủng long Parasaurolophus
Allosaurus, Khủng long Allosaurus
Iguanodon, Khủng long Iguanodon
Apatosaurus, Khủng long Apatosaurus
Compsognathus, Khủng long Compsognathus
Coelophysis, Khủng long Coelophysis
Brontosaurus, Khủng long Brontosaurus
Gallimimus, Khủng long Gallimimus
Plateosaurus, Khủng long Plateosaurus
Microraptor, Khủng long Microraptor
Corythosaurus, Khủng long Corythosaurus
Archaeoceratops, Khủng long Archaeoceratops
Deinonychus, Khủng long Deinonychus
Megalosaurus, Khủng long Megalosaurus
Archaeornithomimus, Khủng long Archaeornithomimus
Oviraptor, Khủng long Oviraptor
Sinornithosaurus, Khủng long Sinornithosaurus
Troodon, Khủng long Troodon
Spinosaurus, Khủng long Spinosaurus
Velociraptor, Khủng long Velociraptor
Giganotosaurus, Khủng long Giganotosaurus
Ceratosaurus, Khủng long Ceratosaurus
Utahraptor, Khủng long Utahraptor
Theropod, Bộ lạc bò sát
Sauropod, Bộ lạc tây ác
Ornithopod, Bộ lạc mỏ vịt
Dromaeosaurid, Họ Dromaeosaurid
Ankylosaur, Bộ lạc án ky lô sâu
Carnosaur, Bộ lạc Carnosaur
Hadrosaur, Bộ lạc Hà độ sâu
Ceratopsian, Họ Ceratopsian
Pterosaur, Bộ lạc cánh dơi
Raptor, Kẻ săn mồi
Velociraptor, Khủng long Velociraptor
Iguanodon, Khủng long Iguanodon
Stegosaurus, Khủng long Stegosaurus
Brachiosaurus, Khủng long Brachiosaurus
Dilophosaurus, Khủng long Dilophosaurus
Anomalocaris, Sinh vật khủng long Anomalocaris
Parasaurolophus, Khủng long Parasaurolophus
Trilobite, Con sò
Plesiosaur, Cá heo cổ hóa thạch
Pachycephalosaurus, Khủng long Pachycephalosaurus
Spinosaurus, Khủng long Spinosaurus
Apatosaurus, Khủng long Apatosaurus
Compsognathus, Khủng long Compsognathus
Coelophysis, Khủng long Coelophysis
Brontosaurus, Khủng long Brontosaurus
Gallimimus, Khủng long Gallimimus
Plateosaurus, Khủng long Plateosaurus
Microraptor, Khủng long Microraptor
Corythosaurus, Khủng long Corythosaurus
Archaeoceratops, Khủng long Archaeoceratops
Deinonychus, Khủng long Deinonychus
Megalosaurus, Khủng long Megalosaurus
Archaeornithomimus, Khủng long Archaeornithomimus
Oviraptor, Khủng long Oviraptor
Sinornithosaurus, Khủng long Sinornithosaurus
Troodon, Khủng long Troodon
Spinosaurus, Khủng long Spinosaurus
Velociraptor, Khủng long Velociraptor
Giganotosaurus, Khủng long Giganotosaurus
Ceratosaurus, Khủng long Ceratosaurus
Utahraptor, Khủng long Utahraptor
Baryonyx, Khủng long Baryonyx
Archaeopteryx, Chim cổ hóa thạch
Megalodon, Cá mập Megalodon
Ichthyosaur, Cá heo cổ hóa thạch
Stegosaurus, Khủng long Stegosaurus
Triceratops, Khủng long ba sừng
Pteranodon, Khủng long Pteranodon
Quetzalcoatlus, Khủng long Quetzalcoatlus
Styracosaurus, Khủng long Styracosaurus
Allosaurus, Khủng long Allosaurus
Vehicle, Phương tiện
Car, Xe hơi
Motorcycle, Xe máy
Bicycle, Xe đạp
Truck, Xe tải
Bus, Xe buýt
Train, Tàu hỏa
Subway, Tàu điện ngầm
Tram, Xe điện
Aircraft, Máy bay
Helicopter, Trực thăng
Boat, Thuyền
Ship, Tàu biển
Yacht, Du thuyền
Scooter, Xe tay ga
Van, Xe bán tải
RV (Recreational Vehicle), Xe du lịch
Segway, Xe điện tự cân bằng
Hoverboard, Ván trượt điện tự cân bằng
Electric Car, Ô tô điện
Hybrid Car, Ô tô lai
Convertible, Xe mui trần
SUV (Sport Utility Vehicle), Xe thể thao đa dụng
Minivan, Xe du lịch đa năng
Sedan, Xe gầm cao
Limousine, Xe hơi hạng sang
Pick-up Truck, Xe bán tải
Roadster, Xe thể thao hai chỗ
Double-decker Bus, Xe buýt hai tầng
Cable Car, Xe cáp treo
Trolleybus, Xe buýt điện trên đường ray
Monorail, Tàu đường sắt đơn
High-speed Train, Tàu cao tốc
Freight Train, Tàu hàng hóa
Cruise Ship, Tàu du lịch biển
Cargo Ship, Tàu vận tải hàng hóa
Rowboat, Thuyền chèo
Canoe, Thuyền bè
Sailboat, Thuyền buồm
Submarine, Tàu ngầm
Fighter Jet, Máy bay tiêm kích
Passenger Plane, Máy bay hành khách
Cargo Plane, Máy bay vận tải hàng hóa
