tu,nghia,chu_de
Digital Signal Processing, Xử lý tín hiệu số,vật lý
RF (Radio Frequency), Tần số sóng radio,vật lý
Power Electronics, Điện tử công suất,vật lý
Ground Plane, Mặt đất (điện),vật lý
Current Divider, Chia dòng,vật lý
Inductive Reactance, Phản ứng từ,vật lý
Dielectric Material, Vật liệu bán dẫn tử,vật lý
Voltage Source, Nguồn điện áp,vật lý
Circuit Analysis, Phân tích mạch,vật lý
Node, Nút,vật lý
Transformer Core, Lõi biến áp,vật lý
Circuit Protection, Bảo vệ mạch,vật lý
Voltage Multiplier, Bộ nâng điện áp,vật lý
Series Circuit, Mạch nối tiếp,vật lý
Parallel Circuit, Mạch song song,vật lý
Transistor Switch, Công tắc tranzito,vật lý
Magnetic Flux, Luồng từ,vật lý
Magnetic Field Strength, Cường độ trường từ,vật lý
Electrical Conductor, Dẫn điện,vật lý
Voltage Divider Rule, Nguyên tắc chia áp điện,vật lý
Circuit Simulation, Mô phỏng mạch điện,vật lý
Electric Power, Công suất điện,vật lý
Circuit Components, Linh kiện mạch,vật lý
Resonance, Điều khiển xung,vật lý
Ground Fault, Lỗi đất,vật lý
Dielectric Strength, Độ cách điện,vật lý
Electronic Circuit, Mạch điện tử,vật lý
Appliance, Thiết bị gia dụng,gia dụng
Refrigerator, Tủ lạnh,gia dụng
Washing Machine, Máy giặt,gia dụng
Dishwasher, Máy rửa bát đĩa,gia dụng
Microwave Oven, Lò vi sóng,gia dụng
Oven, Lò nướng,gia dụng
Stove, Bếp,gia dụng
Toaster, Máy nướng bánh mì,gia dụng
Blender, Máy xay sinh tố,gia dụng
Coffee Maker, Máy pha cà phê,gia dụng
Kettle, Ấm đun nước,gia dụng
Vacuum Cleaner, Máy hút bụi,gia dụng
Air Purifier, Máy lọc không khí,gia dụng
Iron, Bàn ủi,gia dụng
Hair Dryer, Máy sấy tóc,gia dụng
Ceiling Fan, Quạt trần,gia dụng
Electric Heater, Bình nhiệt điện,gia dụng
Food Processor, Máy xay thức phẩm,gia dụng
Rice Cooker, Nồi cơm điện,gia dụng
Slow Cooker, Nồi hâm nóng,gia dụng
Blender, Máy xay sinh tố,gia dụng
Mixer, Máy trộn,gia dụng
Food Dehydrator, Máy làm khô thực phẩm,gia dụng
Juicer, Máy ép trái cây,gia dụng
Air Conditioner, Máy điều hòa không khí,gia dụng
Dehumidifier, Máy lọc ẩm,gia dụng
Electric Grill, Bếp nướng điện,gia dụng
Electric Skillet, Bát nướng điện,gia dụng
Trash Compactor, Máy nén rác,gia dụng
Garbage Disposal, Máy tiêu thải rác,gia dụng
Bread Maker, Máy làm bánh mì,gia dụng
Ice Maker, Máy làm đá,gia dụng
Food Steamer, Máy hấp thực phẩm,gia dụng
Waffle Maker, Máy làm bánh waffle,gia dụng
Popcorn Maker, Máy làm bỏng ngô,gia dụng
Espresso Machine, Máy pha cà phê Espresso,gia dụng
Food Warmer, Máy giữ ấm thức ăn,gia dụng
Electric Can Opener, Máy mở nắp lon,gia dụng
Electric Griddle, Bếp nướng bằng điện,gia dụng
Rice Cooker, Nồi cơm điện,gia dụng
Convection Oven, Lò nướng quạt nhiệt,gia dụng
Steam Iron, Bàn ủi hơi nước,gia dụng
Robot Vacuum, Robot hút bụi,gia dụng
Hand Mixer, Máy trộn tay,gia dụng
Countertop Oven, Lò nướng trên bàn,gia dụng
Electric Kettle, Ấm đun nước điện,gia dụng
Toaster Oven, Lò nướng bánh mỳ,gia dụng
Stand Mixer, Máy trộn đứng,gia dụng
Cordless Vacuum, Máy hút bụi không dây,gia dụng
Steam Cleaner, Máy làm sạch bằng hơi nước,gia dụng
Immersion Blender, Máy xay nhúng,gia dụng
Portable Heater, Bình nhiệt điện cầm tay,gia dụng
Electric Skillet, Bát nướng điện,gia dụng
Electric Griddle, Bếp nướng bằng điện,gia dụng
Hand Blender, Máy xay tay,gia dụng
Rice Cooker, Nồi cơm điện,gia dụng
Pressure Cooker, Nồi áp suất điện,gia dụng
Deep Fryer, Máy chiên sâu,gia dụng
Slow Cooker, Nồi hâm nóng,gia dụng
Popcorn Popper, Máy làm bỏng ngô,gia dụng
Food Slicer, Máy cắt thực phẩm,gia dụng
Meat Grinder, Máy xay thịt,gia dụng
Electric Wok, Chảo điện,gia dụng
Food Chopper, Máy xay thức ăn,gia dụng
Electric Can Opener, Máy mở nắp lon,gia dụng
Coffee Grinder, Máy xay cà phê,gia dụng
Immersion Heater, Bình đun nước,gia dụng
Electric Grill, Bếp nướng điện,gia dụng
Handheld Steamer, Bình hấp cầm tay,gia dụng
Vacuum Sealer, Máy hút chân không,gia dụng
Food Vacuum Sealer, Máy hút chân không thực phẩm,gia dụng
Electric Roaster, Bếp nướng điện,gia dụng
Electric Deep Fryer, Máy chiên sâu điện,gia dụng
Electric Crepe Maker, Máy làm bánh crêpe điện,gia dụng
Electric Tea Kettle, Ấm đun nước điện,gia dụng
Electric Citrus Juicer, Máy ép trái cây điện,gia dụng
Electric Ice Cream Maker, Máy làm kem điện,gia dụng
Electric Food Steamer, Máy hấp thực phẩm điện,gia dụng
Electric Waffle Maker, Máy làm bánh waffle điện,gia dụng
Electric Pressure Cooker, Nồi áp suất điện,gia dụng
Electric Popcorn Popper, Máy làm bỏng ngô điện,gia dụng
Electric Food Slicer, Máy cắt thức phẩm điện,gia dụng
Electric Meat Grinder, Máy xay thịt điện,gia dụng
Electric Egg Cooker, Máy luộc trứng điện,gia dụng
Electric Pasta Maker, Máy làm mì điện,gia dụng
Electric Soup Maker, Máy làm súp điện,gia dụng
Electric Yogurt Maker, Máy làm sữa chua điện,gia dụng
Electric Egg Beater, Máy đánh trứng điện,gia dụng
Electric Cheese Grater, Máy xay phô mai điện,gia dụng
Electric Can Crusher, Máy nghiền lon điện,gia dụng
Electric Meat Slicer, Máy cắt thịt điện,gia dụng
Electric Potato Peeler, Máy bào khoai tây điện,gia dụng
Electric Bread Slicer, Máy cắt bánh mỳ điện,gia dụng
Electric Knife Sharpener, Máy mài dao điện,gia dụng
Electric Ice Crusher, Máy nghiền đá điện,gia dụng
Electric Coffee Grinder, Máy xay cà phê điện,gia dụng
Electric Tea Kettle, Ấm đun nước điện,gia dụng
Electric Citrus Juicer, Máy ép trái cây điện,gia dụng
Electric Ice Cream Maker, Máy làm kem điện,gia dụng
Electric Food Steamer, Máy hấp thực phẩm điện,gia dụng
Chef, Đầu bếp,ẩm thực
Cuisine, Ẩm thực,ẩm thực
Recipe, Công thức nấu ăn,ẩm thực
Ingredient, Nguyên liệu,ẩm thực
Cooking, Nấu nướng,ẩm thực
Baking, Làm bánh,ẩm thực
Roasting, Nướng,ẩm thực
Grilling, Nướng lửa than,ẩm thực
Frying, Chiên,ẩm thực
Boiling, Luộc,ẩm thực
Steaming, Hấp,ẩm thực
Sauteing, Xào,ẩm thực
Simmering, Hầm,ẩm thực
Poaching, Luộc ngâm,ẩm thực
Seasoning, Món mắm,ẩm thực
Spices, Gia vị,ẩm thực
Herbs, Cây cỏ thơm,ẩm thực
Flavor, Mùi vị,ẩm thực
Taste, Vị giác,ẩm thực
Texture, Kết cấu,ẩm thực
Presentation, Trình bày,ẩm thực
Gourmet, Người sành ăn,ẩm thực
Palate, Khả năng phân biệt vị giác,ẩm thực
Appetizer, Món khai vị,ẩm thực
Main Course, Món chính,ẩm thực
Dessert, Món tráng miệng,ẩm thực
Entree, Món ăn thứ hai,ẩm thực
Side Dish, Món kèm,ẩm thực
Salad, Món trộn,ẩm thực
Soup, Mì súp,ẩm thực
Bread, Bánh mì,ẩm thực
Pasta, Mì ống,ẩm thực
Rice, Gạo,ẩm thực
Meat, Thịt,ẩm thực
Poultry, Gia cầm,ẩm thực
Seafood, Hải sản,ẩm thực
Vegetables, Rau cải,ẩm thực
Fruits, Trái cây,ẩm thực
Dairy, Sản phẩm từ sữa,ẩm thực
Cheese, Phô mai,ẩm thực
Olive Oil, Dầu oliu,ẩm thực
Vinegar, Giấm,ẩm thực
Garlic, Tỏi,ẩm thực
Onion, Hành tây,ẩm thực
Tomato, Cà chua,ẩm thực
Potato, Khoai tây,ẩm thực
Cucumber, Dưa leo,ẩm thực
Eggplant, Cà tím,ẩm thực
Bell Pepper, Ớt chuông,ẩm thực
Carrot, Cà rốt,ẩm thực
Mushroom, Nấm,ẩm thực
Pepper, Ớt,ẩm thực
Salt, Muối,ẩm thực
Sugar, Đường,ẩm thực
Butter, Bơ,ẩm thực
Cream, Kem,ẩm thực
Sour Cream, Kem chua,ẩm thực
Honey, Mật ong,ẩm thực
Mustard, Mù tạt,ẩm thực
Ketchup, Nước xốt cà chua,ẩm thực
Mayonnaise, Sốt mayonnaise,ẩm thực
Salsa, Sốt salsal,ẩm thực
Dressing, Sốt salad,ẩm thực
Marinade, Nước sốt ướp,ẩm thực
Gravy, Nước sốt đậu xanh,ẩm thực
Baste, Quét nước sốt lên mặt thức ăn,ẩm thực
Poach, Luộc ngâm,ẩm thực
Boil, Luộc,ẩm thực
Grill, Nướng lửa than,ẩm thực
Roast, Nướng,ẩm thực
Broil, Nướng trên bếp,ẩm thực
Steam, Hấp,ẩm thực
Saute, Xào,ẩm thực
Simmer, Hầm,ẩm thực
Fry, Chiên,ẩm thực
Bake, Làm bánh,ẩm thực
Blanch, Luộc ngắn,ẩm thực
Toss, Trộn,ẩm thực
Garnish, Trang trí,ẩm thực
Chop, Băm nhỏ,ẩm thực
Dice, Cắt thành hình lập phương,ẩm thực
Grate, Nạo,ẩm thực
Mince, Nhỏ,ẩm thực
Slice, Cắt lát,ẩm thực
Julienne, Cắt thành sợi mỏng,ẩm thực
Sear, Sấy,ẩm thực
Whisk, Đánh,ẩm thực
Knead, Nhồi bột,ẩm thực
Fold, Gấp,ẩm thực
Boil Over, Tràn,ẩm thực
Preheat, Tiền nhiệt,ẩm thực
Garnish, Trang trí,ẩm thực
Season, Nêm gia vị,ẩm thực
Serve, Phục vụ,ẩm thực
Taste Test, Kiểm tra vị giác,ẩm thực
Cookware, Đồ dùng nấu nướng,ẩm thực
Utensils, Dụng cụ,ẩm thực
Cutting Board, Thớt,ẩm thực
Cooktop, Bếp,ẩm thực
Oven, Lò nướng,ẩm thực
Office, Văn phòng,công sở
Desk, Bàn làm việc,công sở
Chair, Ghế,công sở
Computer, Máy tính,công sở
Keyboard, Bàn phím,công sở
Mouse, Chuột máy tính,công sở
Monitor, Màn hình,công sở
Printer, Máy in,công sở
Scanner, Máy quét,công sở
Fax Machine, Máy fax,công sở
Copier, Máy sao chép,công sở
Telephone, Điện thoại,công sở
Headset, Tai nghe,công sở
File Cabinet, Tủ hồ sơ,công sở
Filing Cabinet, Tủ sắp xếp hồ sơ,công sở
Shelf, Kệ sách,công sở
Calendar, Lịch,công sở
Clock, Đồng hồ,công sở
Paper, Giấy,công sở
Pen, Bút bi,công sở
Pencil, Bút chì,công sở
Eraser, Gôm,công sở
Stapler, Dập ghim,công sở
Tape, Băng dính,công sở
Notepad, Sổ tay,công sở
Envelope, Phong bì,công sở
Binder, Bìa kẹp,công sở
Paper Clip, Kẹp giấy,công sở
Document, Tài liệu,công sở
Memo, Ghi chú nhanh,công sở
Folder, Hồ sơ,công sở
Office Supplies, Vật dụng văn phòng,công sở
Stationery, Văn phòng phẩm,công sở
Meeting, Cuộc họp,công sở
Conference, Hội nghị,công sở
Presentation, Thuyết trình,công sở
Whiteboard, Bảng trắng,công sở
Blackboard, Bảng đen,công sở
Projector, Máy chiếu,công sở
Screen, Màn chiếu,công sở
Office Chair, Ghế văn phòng,công sở
Cubicle, Góc làm việc riêng,công sở
Workstation, Khu vực làm việc,công sở
Reception, Quầy lễ tân,công sở
Waiting Area, Khu vực chờ đợi,công sở
Photocopier, Máy sao chép tài liệu,công sở
Conference Room, Phòng họp,công sở
Office Building, Tòa nhà văn phòng,công sở
Office Manager, Quản lý văn phòng,công sở
Secretary, Thư ký,công sở
Fax, Gửi bằng fax,công sở
Scanner, Máy quét tài liệu,công sở
Printer, Máy in,công sở
Photocopy, Sao chép tài liệu,công sở
Office Supplies, Vật dụng văn phòng,công sở
Office Equipment, Thiết bị văn phòng,công sở
Meeting Room, Phòng họp,công sở
Document Storage, Lưu trữ tài liệu,công sở
Conference Call, Cuộc họp qua điện thoại,công sở
Workstation, Khu vực làm việc,công sở
Office Space, Không gian văn phòng,công sở
Keyboard Shortcut, Phím tắt trên bàn phím,công sở
Multifunction Printer, Máy in đa chức năng,công sở
Office Furniture, Đồ nội thất văn phòng,công sở
Office Supplies, Vật dụng văn phòng,công sở
Office Stationery, Văn phòng phẩm,công sở
Desk Organizer, Tổ chức bàn làm việc,công sở
Office Chair, Ghế văn phòng,công sở
Task Chair, Ghế làm việc,công sở
Ergonomic, Ergonôm,công sở
Cubicle, Góc làm việc riêng,công sở
Workstation, Khu vực làm việc,công sở
Office Environment, Môi trường văn phòng,công sở
Business Hours, Giờ làm việc,công sở
Office Location, Địa điểm văn phòng,công sở
Office Supplies Store, Cửa hàng vật dụng văn phòng,công sở
Office Protocol, Quy tắc văn phòng,công sở
Office Etiquette, Nghi thức văn phòng,công sở
Office Management, Quản lý văn phòng,công sở
Office Administration, Hành chính văn phòng,công sở
Office Communication, Giao tiếp văn phòng,công sở
Office Decor, Trang trí văn phòng,công sở
Office Space Planning, Lập kế hoạch không gian văn phòng,công sở
Office Technology, Công nghệ văn phòng,công sở
Office Security, Bảo mật văn phòng,công sở
Office Ergonomics, Ergonôm văn phòng,công sở
Office Software, Phần mềm văn phòng,công sở
Office Hardware, Thiết bị phần cứng văn phòng,công sở
Office Layout, Bố trí văn phòng,công sở
Office Efficiency, Hiệu suất văn phòng,công sở
Office Organization, Tổ chức văn phòng,công sở
Office Procedures, Quy trình văn phòng,công sở
Office Productivity, Năng suất văn phòng,công sở
Office Technology, Công nghệ văn phòng,công sở
Office Maintenance, Bảo dưỡng văn phòng,công sở
Office Networking, Mạng lưới văn phòng,công sở
Office Budget, Ngân sách văn phòng,công sở
Office Cleaning, Vệ sinh văn phòng,công sở
Office Supplies Inventory, Tồn kho vật dụng văn phòng,công sở
Office Waste Management, Quản lý chất thải văn phòng,công sở
Architect, Kiến trúc sư,xây dựng
Blueprint, Bản vẽ thiết kế,xây dựng
Design, Thiết kế,xây dựng
Building, Công trình xây dựng,xây dựng
Structure, Kết cấu,xây dựng
Foundation, Nền móng,xây dựng
Roof, Mái nhà,xây dựng
Wall, Bức tường,xây dựng
Floor, Sàn nhà,xây dựng
Ceiling, Trần nhà,xây dựng
Window, Cửa sổ,xây dựng
Door, Cửa,xây dựng
Stairs, Cầu thang,xây dựng
Balcony, Ban công,xây dựng
Facade, Mặt tiền,xây dựng
Interior, Nội thất,xây dựng
Exterior, Bên ngoài,xây dựng
Renovation, Cải tạo,xây dựng
Restoration, Phục hồi,xây dựng
Architecture, Kiến trúc,xây dựng
Urban Planning, Quy hoạch đô thị,xây dựng
Blueprint, Bản vẽ thiết kế,xây dựng
Design, Thiết kế,xây dựng
Sketch, Bản phác thảo,xây dựng
Model, Mô hình,xây dựng
Draft, Bản nháp,xây dựng
Scale, Tỷ lệ,xây dựng
Floor Plan, Bản vẽ mặt bằng,xây dựng
Elevation, Bản vẽ bề mặt,xây dựng
Section, Bản vẽ mảng cắt,xây dựng
Site Plan, Bản vẽ mặt bằng công trình,xây dựng
Landscaping, Thiết kế cảnh quan,xây dựng
Construction, Xây dựng,xây dựng
Material, Vật liệu,xây dựng
Steel, Thép,xây dựng
Concrete, Bê tông,xây dựng
Brick, Gạch,xây dựng
Wood, Gỗ,xây dựng
Glass, Kính,xây dựng
Stone, Đá,xây dựng
Plaster, Thạch cao,xây dựng
Roofing, Lợp mái,xây dựng
Siding, Lớp ngoài của công trình,xây dựng
Column, Cột,xây dựng
Beam, Dầm,xây dựng
Arch, Cầu gỗ,xây dựng
Dome, Mái vòm,xây dựng
Foundation, Nền móng,xây dựng
Pillar, Trụ,xây dựng
Facade, Mặt tiền,xây dựng
Cornice, Mái che,xây dựng
Balustrade, Dãy lan can,xây dựng
Skylight, Cửa sổ trời,xây dựng
Atrium, Sảnh lớn,xây dựng
Gable, Đỉa nhọn,xây dựng
Parapet, Bức tường trang trí ở đỉa tường,xây dựng
Portico, Hành lang trước cửa,xây dựng
Archway, Cổng vòm,xây dựng
Veranda, Hành lang ngoài trời,xây dựng
Terrace, Sân hiên,xây dựng
Turret, Tháp nhỏ,xây dựng
Corridor, Hành lang,xây dựng
Courtyard, Sân trong,xây dựng
Skylight, Cửa sổ trời,xây dựng
Arcade, Hành lang đường đi dài,xây dựng
Aisle, Hàng đợi,xây dựng
Mezzanine, Tầng lầu,xây dựng
Dormer, Cửa sổ ở mái nhà,xây dựng
Mantel, Vách lò lửa,xây dựng
Rotunda, Nhà tròn,xây dựng
Buttress, Cột bậc thang đỡ,xây dựng
Pinnacle, Đỉa cao,xây dựng
Pediment, Tróc đỉa,xây dựng
Transept, Phần chữ thập,xây dựng
Cupola, Tháp nhỏ,xây dựng
Sconce, Đèn bắt tường,xây dựng
Wainscoting, Ván trang trí,xây dựng
Balustrade, Dãy lan can,xây dựng
Dormer Window, Cửa sổ trên mái nhà,xây dựng
Gazebo, Nhà mái vòm,xây dựng
Lattice, Lưới trang trí,xây dựng
Spire, Đỉa nhọn,xây dựng
Pergola, Mai đài,xây dựng
Ornament, Trang trí,xây dựng
Finial, Đỉa đầu,xây dựng
Keystone, Đỉa cầu đá,xây dựng
Skyscraper, Tòa nhà chọc trời,xây dựng
Blueprint, Bản vẽ thiết kế,xây dựng
Scaffolding, Giàn giáo,xây dựng
Architecture Firm, Công ty kiến trúc,xây dựng
Interior Design, Thiết kế nội thất,xây dựng
Landscape Architecture, Kiến trúc cảnh quan,xây dựng
Blueprint Reading, Đọc bản vẽ thiết kế,xây dựng
Building Codes, Luật kiến trúc,xây dựng
Sustainable Design, Thiết kế bền vững,xây dựng
Urban Development, Phát triển đô thị,xây dựng
Building Materials, Vật liệu xây dựng,xây dựng
Architectural Style, Phong cách kiến trúc,xây dựng
Historic Preservation, Bảo tồn di tích,xây dựng
Architectural Heritage, Di sản kiến trúc,xây dựng
Painting, Tranh,nghệ thuật
Canvas, Bức tranh,nghệ thuật
Artist, Họa sĩ,nghệ thuật
Palette, Bảng màu,nghệ thuật
Brush, Cọ,nghệ thuật
Easel, Giá đỡ tranh,nghệ thuật
Acrylic, Màu acrylic,nghệ thuật
Oil, Màu dầu,nghệ thuật
Watercolor, Màu nước,nghệ thuật
Sketch, Bản phác thảo,nghệ thuật
Portrait, Chân dung,nghệ thuật
Landscape, Phong cảnh,nghệ thuật
Still Life, Tự nhiên chết,nghệ thuật
Abstract, Trừu tượng,nghệ thuật
Impressionism, Chủ nghĩa ấn tượng,nghệ thuật
Realism, Chủ nghĩa hiện thực,nghệ thuật
Surrealism, Chủ nghĩa siêu thực,nghệ thuật
Modern Art, Nghệ thuật hiện đại,nghệ thuật
Contemporary Art, Nghệ thuật đương đại,nghệ thuật
Artwork, Tác phẩm nghệ thuật,nghệ thuật
Exhibition, Triển lãm,nghệ thuật
Gallery, Phòng trưng bày,nghệ thuật
Sculpture, Tượng điêu khắc,nghệ thuật
Pottery, Gốm sứ,nghệ thuật
Ceramics, Đồ gốm,nghệ thuật
Print, In,nghệ thuật
Engraving, Khắc,nghệ thuật
Artistic, Thuộc về nghệ thuật,nghệ thuật
Aesthetics, Thẩm mỹ học,nghệ thuật
Frame, Khung tranh,nghệ thuật
Portraitist, Họa sĩ chân dung,nghệ thuật
Landscape Artist, Họa sĩ phong cảnh,nghệ thuật
Still Life Painter, Họa sĩ tự nhiên chết,nghệ thuật
Artistic Expression, Biểu đạt nghệ thuật,nghệ thuật
Color Palette, Bảng màu sắc,nghệ thuật
Art Studio, Phòng làm việc nghệ thuật,nghệ thuật
Art Collector, Người sưu tập nghệ thuật,nghệ thuật
Art History, Lịch sử nghệ thuật,nghệ thuật
Art Critic, Nhà phê bình nghệ thuật,nghệ thuật
Art School, Trường nghệ thuật,nghệ thuật
Art Museum, Bảo tàng nghệ thuật,nghệ thuật
Artisan, Nghệ nhân,nghệ thuật
Craftsmanship, Điêu khắc,nghệ thuật
Canvas Painting, Tranh vẽ trên bảng tranh,nghệ thuật
Digital Art, Nghệ thuật số,nghệ thuật
Abstract Expressionism, Chủ nghĩa trừu tượng biểu cảm,nghệ thuật
Artistic Inspiration, Sự truyền cảm hứng nghệ thuật,nghệ thuật
Art Collector, Người sưu tập nghệ thuật,nghệ thuật
Artistic Process, Quy trình nghệ thuật,nghệ thuật
Athlete, Vận động viên,thể thao
Sports, Thể thao,thể thao
Competition, Cuộc thi,thể thao
Team, Đội,thể thao
Game, Trò chơi,thể thao
Victory, Chiến thắng,thể thao
Defeat, Thất bại,thể thao
Tournament, Giải đấu,thể thao
Championship, Chức vô địch,thể thao
Match, Trận đấu,thể thao
Score, Điểm số,thể thao
Referee, Trọng tài,thể thao
Coach, HLV,thể thao
Training, Huấn luyện,thể thao
Player, Cầu thủ,thể thao
Uniform, Đồng phục,thể thao
Field, Sân cỏ,thể thao
Court, Sân thi đấu,thể thao
Stadium, Sân vận động,thể thao
Equipment, Thiết bị,thể thao
Ball, Bóng,thể thao
Racket, Vợt,thể thao
Net, Mạng,thể thao
Goal, Bàn thắng,thể thao
Village of Athlete, Làng vận động viên,thể thao
Medal, Huy chương,thể thao
Ceremony, Lễ trao giải,thể thao
Trophy, Cúp thưởng,thể thao
Record, Kỷ lục,thể thao
Relay, Đua tiếp sức,thể thao
Marathon, Giải chạy marathon,thể thao
Sprint, Chạy nhanh,thể thao
Endurance, Sức bền,thể thao
Gymnastics, Tập thể dục,thể thao
Swimming, Bơi lội,thể thao
Diving, Nhảy từ trampoline,thể thao
Cycling, Đua xe đạp,thể thao
Boxing, Đánh quyền,thể thao
Wrestling, Đấm bốc,thể thao
Judo, Judo,thể thao
Karate, Karate,thể thao
Taekwondo, Taekwondo,thể thao
Weightlifting, Cử tạ,thể thao
Archery, Bắn cung,thể thao
Equestrian, Đua ngựa,thể thao
Rowing, Chèo thuyền,thể thao
Sailing, Lướt ván,thể thao
Skiing, Trượt tuyết,thể thao
Snowboarding, Lướt ván trên tuyết,thể thao
Ice Hockey, Khúc côn cầu trên băng,thể thao
Figure Skating, Trượt băng nghệ thuật,thể thao
Gymnast, Vận động viên thể dục dụng cụ,thể thao
Swimmer, Vận động viên bơi lội,thể thao
Diver, Vận động viên nhảy từ trampoline,thể thao
Cyclist, Vận động viên đua xe đạp,thể thao
Boxer, Vận động viên đánh quyền,thể thao
Wrestler, Vận động viên đấm bốc,thể thao
Judoka, Vận động viên Judo,thể thao
Karateka, Vận động viên Karate,thể thao
Taekwondoka, Vận động viên Taekwondo,thể thao
Weightlifter, Vận động viên cử tạ,thể thao
Archer, Vận động viên bắn cung,thể thao
Equestrian, Vận động viên đua ngựa,thể thao
Rower, Vận động viên chèo thuyền,thể thao
Sailor, Vận động viên lướt ván,thể thao
Skier, Vận động viên trượt tuyết,thể thao
Snowboarder, Vận động viên lướt ván trên tuyết,thể thao
Ice Hockey Player, Cầu thủ khúc côn cầu trên băng,thể thao
Figure Skater, Vận động viên trượt băng nghệ thuật,thể thao
Sportsmanship, Tinh thần thể thao,thể thao
Fair Play, Chơi trong tinh thần thể thao,thể thao
Sports Venue, Địa điểm thi đấu,thể thao
Fan, Cổ động viên,thể thao
Spectator, Người xem,thể thao
Cheer, Cổ vũ,thể thao
Oath of Athlete, Lời tuyên thệ của vận động viên,thể thao
Sportsmanship, Tinh thần thể thao,thể thao
Medal Ceremony, Lễ trao giải,thể thao
Opening Ceremony, Lễ khai mạc,thể thao
Closing Ceremony, Lễ bế mạc,thể thao
National Anthem, Quốc ca,thể thao
Olympic Games, Thế vận hội,thể thao
Paralympics, Thế vận hội dành cho người khuyết tật,thể thao
World Cup, World Cup,thể thao
League, Giải đấu,thể thao
Tournament, Giải đấu,thể thao
Qualification, Vòng loại,thể thao
Knockout, Đấu loại trực tiếp,thể thao
Tie, Trận hòa,thể thao
Victory, Chiến thắng,thể thao
Defeat, Thất bại,thể thao
Gold Medal, Huy chương vàng,thể thao
Silver Medal, Huy chương bạc,thể thao
Bronze Medal, Huy chương đồng,thể thao
Sports Equipment, Thiết bị thể thao,thể thao
Sports Psychology, Tâm lý học thể thao,thể thao
Sports Nutrition, Dinh dưỡng thể thao,thể thao
Sports Medicine, Y học thể thao,thể thao
Sports Injury, Chấn thương thể thao,thể thao
Sports Science, Khoa học thể thao,thể thao
Fashion, Thời trang,thời trang
Clothing, Quần áo,thời trang
Apparel, Đồ trang phục,thời trang
Designer, Nhà thiết kế,thời trang
Style, Phong cách,thời trang
Trend, Xu hướng,thời trang
Outfit, Bộ trang phục,thời trang
Accessories, Phụ kiện,thời trang
Couture, Thời trang cao cấp,thời trang
Runway, Sàn diễn thời trang,thời trang
Model, Người mẫu,thời trang
Catwalk, Nơi người mẫu trình diễn,thời trang
Fabric, Vải,thời trang
Texture, Đặc tính bề mặt,thời trang
Sewing, May vá,thời trang
Tailor, Thợ may,thời trang
Dress, Váy,thời trang
Suit, Áo vest,thời trang
Shirt, Áo sơ mi,thời trang
Pants, Quần,thời trang
Skirt, Váy ngắn,thời trang
Blouse, Áo blouse,thời trang
Jacket, Áo khoác,thời trang
Coat, Áo khoác dày,thời trang
Sweater, Áo len,thời trang
Scarf, Khăn quàng cổ,thời trang
Hat, Mũ,thời trang
Shoes, Giày,thời trang
Boots, Giày bốt,thời trang
Sandals, Dép xỏ ngón,thời trang
High Heels, Giày cao gót,thời trang
Sneakers, Giày thể thao,thời trang
Handbag, Túi xách,thời trang
Clutch, Túi cầm tay,thời trang
Belt, Thắt lưng,thời trang
Jewelry, Trang sức,thời trang
Necklace, Dây chuyền,thời trang
Earrings, Bông tai,thời trang
Bracelet, Vòng cổ tay,thời trang
Ring, Nhẫn,thời trang
Sunglasses, Kính râm,thời trang
Watch, Đồng hồ,thời trang
Lingerie, Đồ lót,thời trang
Swimsuit, Áo tắm,thời trang
Formal Wear, Trang phục dự tiệc,thời trang
Casual Wear, Trang phục thường ngày,thời trang
Vintage, Thời trang cổ điển,thời trang
Bohemian, Phong cách Bohemian,thời trang
Streetwear, Thời trang đường phố,thời trang
Sportswear, Thời trang thể thao,thời trang
Haute Couture, Thời trang cao cấp,thời trang
Ready-to-Wear, Trang phục sẵn sàng mặc,thời trang
Fashion Show, Buổi trình diễn thời trang,thời trang
Fashion Week, Tuần lễ thời trang,thời trang
Haute Couture, Thời trang cao cấp,thời trang
Fashion Industry, Ngành công nghiệp thời trang,thời trang
Fashion Designer, Nhà thiết kế thời trang,thời trang
Runway Model, Người mẫu trên sàn diễn,thời trang
Dressmaker, Người làm váy,thời trang
Textile, Ngành dệt may,thời trang
Fabric Store, Cửa hàng vải,thời trang
Color, Màu sắc,thời trang
Pattern, Hoa văn,thời trang
Sewing Machine, Máy may,thời trang
Dress Form, Bản định hình,thời trang
Fitting, Thử đồ,thời trang
Tailoring, Thuộc về thời trang,thời trang
Fashion Retail, Bán lẻ thời trang,thời trang
Style Icon, Người thần tượng phong cách,thời trang
Wardrobe, Tủ quần áo,thời trang
Make-up, Trang điểm,thời trang
Hairstyle, Kiểu tóc,thời trang
Beauty, Sắc đẹp,thời trang
Fashion Magazine, Tạp chí thời trang,thời trang
Fashion Blog, Blog thời trang,thời trang
Fashion Photographer, Nhiếp ảnh gia thời trang,thời trang
Runway Show, Buổi trình diễn sàn diễn,thời trang
Fashion Week, Tuần lễ thời trang,thời trang
Fashion Trend, Xu hướng thời trang,thời trang
Fashion Statement, Tuyên bố thời trang,thời trang
Dress Code, Quy định trang phục,thời trang
Red Carpet, Thảm đỏ,thời trang
Fashion Sketch, Bản phác thảo thời trang,thời trang
Fashion Accessories, Phụ kiện thời trang,thời trang
